name,fullname,price,age,makers,volume,buys,sells,liquidity,FDV,href,timestamp
PAWTUS,Pawsident of United States,$0.0001255,5m,512,$58K,453,253,$33K,$125K,https://dexscreener.com/solana/qjbi4rryktctubpucezy5diu5mhgiatp5mvdtdypn8i,2024-06-18 17:42:44
TUNA,TUNA,$0.00009169,8m,398,$84K,402,286,$170K,$9.2M,https://dexscreener.com/solana/4hurphauqeysscantb7ugpqht7zmdbptcucsnw3z57cb,2024-06-18 21:51:58,
jaky,jaky,$0.0002406,10m,805,$305K,"1,054",532,$46K,$240K,https://dexscreener.com/solana/2h4eg5ivsndcvg7kq4qjbsahmpa2nc6usggjmynnvbjp,2024-06-18 21:51:58,
Solle,SOLLE,$0.00005472,12m,465,$65K,491,324,$21K,$54K,https://dexscreener.com/solana/ghxgk3gbcxjfdkhnwycbe2nq1ygdda318ksrmd3vavgw,2024-06-18 21:51:59,
JIMMY,A dog named Jimmy,$0.00001711,13m,478,$113K,540,474,$12K,$17K,https://dexscreener.com/solana/yne8bdnpdffjngfak3hyc2goxxdprf1i1snfshccyrs,2024-06-18 21:51:59,
PVIDIA,PVIDIA,$0.00003982,23m,135,$626K,"1,857","1,735",$16K,$39K,https://dexscreener.com/solana/8x2adezdkumbaxwu4m51hdaeswzsxar4ctqgn6gpveqt,2024-06-18 21:51:59,
JIFFPOM,Jiffpom,$0.001302,27m,713,$207K,"2,137","1,700",$19K,$130K,https://dexscreener.com/solana/fkwczjixqzs5nu3qipaous5ercvm9owpcdoce6heqdil,2024-06-18 21:51:59,
aw,Another World,$0.0001070,33m,825,$292K,"1,186",839,$31K,$107K,https://dexscreener.com/solana/aqrav32idec3tqrhq6ia8chtajhk5hdaxxm5klsgvmml,2024-06-18 21:51:59,
cup,puppachino,$0.00006929,35m,927,$219K,"1,365","1,054",$24K,$66K,https://dexscreener.com/solana/d9fcmbhlkk9p1tuytsfjyu9gyz3r6vvxeuxj7dejknv,2024-06-18 21:52:00,
MISHA,ねずみ - fluffy hamster,$0.00002780,39m,"1,447",$398K,"2,027","1,803",$15K,$27K,https://dexscreener.com/solana/9bty5sxp5ppwajcif7t4pqzcmvmnsmxbljdmbrbssgyx,2024-06-18 21:52:00,
TILLY,TRUMP BILLY🇺🇸,$0.007822,49m,"1,363",$373K,"1,857",444,$1.2M,$782K,https://dexscreener.com/solana/ch5pk1shnprblofxw85jdd3opccrsjxhmtsmvhf72vwf,2024-06-18 21:52:00,
BABYPeiPei,BABYPeiPei,$0.0005801,49m,222,$671K,"4,186","5,258",$32K,$58K,https://dexscreener.com/solana/brk9jwdhhxsd1swy954vqmqjpk7bc7j8jtupc8g4ylnr,2024-06-18 21:52:00,
TUNA,TUNA,$0.00009169,8m,398,$84K,402,286,$170K,$9.2M,https://dexscreener.com/solana/4hurphauqeysscantb7ugpqht7zmdbptcucsnw3z57cb,2024-06-18 21:51:58,
jaky,jaky,$0.0002406,10m,805,$305K,"1,054",532,$46K,$240K,https://dexscreener.com/solana/2h4eg5ivsndcvg7kq4qjbsahmpa2nc6usggjmynnvbjp,2024-06-18 21:51:58,
Solle,SOLLE,$0.00005472,12m,465,$65K,491,324,$21K,$54K,https://dexscreener.com/solana/ghxgk3gbcxjfdkhnwycbe2nq1ygdda318ksrmd3vavgw,2024-06-18 21:51:59,
JIMMY,A dog named Jimmy,$0.00001711,13m,478,$113K,540,474,$12K,$17K,https://dexscreener.com/solana/yne8bdnpdffjngfak3hyc2goxxdprf1i1snfshccyrs,2024-06-18 21:51:59,
PVIDIA,PVIDIA,$0.00003982,23m,135,$626K,"1,857","1,735",$16K,$39K,https://dexscreener.com/solana/8x2adezdkumbaxwu4m51hdaeswzsxar4ctqgn6gpveqt,2024-06-18 21:51:59,
JIFFPOM,Jiffpom,$0.001302,27m,713,$207K,"2,137","1,700",$19K,$130K,https://dexscreener.com/solana/fkwczjixqzs5nu3qipaous5ercvm9owpcdoce6heqdil,2024-06-18 21:51:59,
aw,Another World,$0.0001070,33m,825,$292K,"1,186",839,$31K,$107K,https://dexscreener.com/solana/aqrav32idec3tqrhq6ia8chtajhk5hdaxxm5klsgvmml,2024-06-18 21:51:59,
cup,puppachino,$0.00006929,35m,927,$219K,"1,365","1,054",$24K,$66K,https://dexscreener.com/solana/d9fcmbhlkk9p1tuytsfjyu9gyz3r6vvxeuxj7dejknv,2024-06-18 21:52:00,
