name,fullname,price,age,makers,volume,buys,sells,liquidity,FDV,href,timestamp,contract_address
DUCKE,Ducke,$0.001624,8m,940,$2.7M,"1,200",433,$116K,$1.6M,https://dexscreener.com/solana/f4jy2ttwv7f4tqglfevngdxrydg5uhcruztkpyhn8em,2024-04-23 23:02:18,
hehe,hehe cat,$0.0001566,9m,700,$348K,886,415,$23K,$156K,https://dexscreener.com/solana/hsnmp2pabt6x4zpqkpld9amgchvavrrreaf54xcciue1,2024-04-23 23:02:18,F2hT1bnFJ2exnTfcrcsXSGQsQUMEDenzPkdy89M5bnMF
cokemon,Cokémon,$0.0001552,11m,242,$135K,260,174,$40K,$155K,https://dexscreener.com/solana/5npbbrsajbennvm6uyqvyfvuovcsekrvsutn1vfq4blc,2024-04-23 23:02:19,FurZi3D1JLp58mrHXEj83YtrqG6Q9Q6iQcfKV4g9GBWC
SPBS,SpaceBalls,$0.001842,1h 41m,"3,933",$7.0M,"8,574","6,242",$120K,$1.8M,https://dexscreener.com/solana/54d6in4owyhf5nesvkyk5xyidojkt34bfeewzkqgskyq,2024-04-23 23:02:19,Zj2NiHngCWAKC9jYq1eYPHaY3LSUB7xdA7AqVvn3VZx
GUMANEKI,GUMMY MANEKI,$0.0001234,3h 43m,"1,252",$4.4M,"4,892","3,076",$2.1M,$1.2M,https://dexscreener.com/solana/7mttl1rxad5aamraj9ctvprg5nfbebfkwvxhajekeetn,2024-04-23 23:02:19,
HoldSol,Hold Solana,$0.00007508,4h 9m,324,$1.7M,"3,716","1,482",$1.3M,$750K,https://dexscreener.com/solana/enpdzsvpytwxltqynwuoanvqbb5mof6sv99jfe3i3a19,2024-04-23 23:02:19,
MECHACAT,Mecha Cat,$0.0005824,4h 32m,651,$2.0M,"2,891","3,622",$1.0M,$582K,https://dexscreener.com/solana/ezxmgtzzbdhxqhqrdq8kbmmqrjyxswdxpyin4zscuzgx,2024-04-23 23:02:19,
NEKO,NEKO,$0.001367,4h 59m,"3,356",$3.3M,"7,058","6,315",$106K,$1.3M,https://dexscreener.com/solana/2c5iph2orsdlkpzmtbdsyrwmxvp9wqtu3nlppa2gwjkf,2024-04-23 23:02:19,Neko9tdbfXovuJ2kqZVVJS1bLt8uGWzpYSRdxarjcih
CRYPTO,Crypto,$0.0002096,15h 36m,326,$126K,503,432,$36K,$209K,https://dexscreener.com/solana/eah3zqynxmuyb6v8pi1lxqew2ldfzcthshrkzbqcjh5e,2024-04-23 23:02:20,
fink,fink,$0.006411,22h 42m,"9,728",$18.4M,"22,964","16,147",$681K,$7.2M,https://dexscreener.com/solana/8ngvuskyqhjvxi1vm3sezfch8cvkxaoxijw8g7odqmlt,2024-04-23 23:02:20,
MANEKI,MANEKI,$0.01275,1d 6h,"19,954",$129.9M,"39,551","30,172",$15.3M,$113.3M,https://dexscreener.com/solana/2apssvxfw6dgrqwwukfwujn6wvoyxuhjjapzyajvgddr,2024-04-23 23:02:20,
GUMMY,GUMMY,$0.1716,3d 1h,"8,977",$22.0M,"16,814","12,577",$3.3M,$171.6M,https://dexscreener.com/solana/fmiecmsyhpdbf94zzka7i6ink1gx7ayplf7qewnz1i6w,2024-04-23 23:02:20,
POODLE,Poodle,$0.00008811,3mo 7d,259,$190K,506,305,$13K,$87K,https://dexscreener.com/solana/6albbmufuxgpaycv6o5pu8nfcqxmnek4xlbf73ls4wsw,2024-04-23 23:02:20,
